"id","name","os","status","account","dept","division","owner","storage","cpu","memory"
"3000","bmw056.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","381","2 physical, 2 logical","7868 (8192)"
"3001","bmw057.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","795","2 physical, 2 logical","7868 (8192)"
"3002","maxima02.mail.cornell.edu","Linux","Active","R524717","CIT","Support","pb10","563","4 physical, 4 logical","15947 (16384)"
"3003","maxima04.mail.cornell.edu","Linux","Active","R524717","CIT","Support","pb10","563","4 physical, 4 logical","15947 (16384)"
"3004","maxima03.mail.cornell.edu","Linux","Active","R524717","CIT","Support","pb10","563","4 physical, 4 logical","15947 (16384)"
"3005","maxima01.mail.cornell.edu","Linux","Active","R524717","CIT","Support","pb10","424","4 physical, 4 logical","15947 (16384)"
"3006","sf-tms01","Windows","Active","G953770","Johnson Museum Of Art","","mjc69","969","1 Physical, 1 Logical","6143 (6144)"
"3007","sf-agnorth-002","Windows","Active","1213198","CALS","","ams323","999","1 Physical, 1 Logical","4095 (4096)"
"3008","miata01.serverfarm.cornell.edu","Linux","Gone","R524890","CIT","Systems & Operations","ljc1","136","2 physical, 16 logical","48256 ()"
"3009","sf-agpeit-005","Windows","Active","1257601","CALS","","jbb23","579","1 Physical, 1 Logical","12287 (12288)"
"3010","sf-fs-tweb-005","Windows","Gone","G413704","FACILITIES OPERATIONS","","tdd29","149","2 Physical, 2 Logical","12287 (12288)"
"3011","bmw058.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","160","2 physical, 2 logical","7868 (8192)"
"3012","sf-infranode037.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","197","4 physical, 4 logical","7868 (8192)"
"3013","huron4.serverfarm.cornell.edu","Linux","Gone","R524890","CIT","Systems & Operations","ljc1","385","2 physical, 32 logical","32150 ()"
"3014","oxton112.serverfarm.cornell.edu","Linux","Gone","1047638","COOPERATIVE EXTENSION","","gm228","190","2 physical, 2 logical","7868 (8192)"
"3015","oxton113.serverfarm.cornell.edu","Linux","Gone","1047638","COOPERATIVE EXTENSION","","gm228","131","1 physical, 1 logical","3828 (4096)"
"3016","bmw059.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","91","1 physical, 1 logical","1873 (2048)"
"3017","india9.serverfarm.cornell.edu","ESX","Active","R524850","CIT","Systems & Operations","ljc1","0","Not Provided","Not Provided (196597)"
"3018","norway06.serverfarm.cornell.edu","ESX","Active","R524850","CIT","Systems & Operations","","0","Not Provided","Not Provided (262109)"
"3019","sf-citdsrv-017","Windows","Gone","R554701","CIT","Support","eln1","209","2 Physical, 2 Logical","4095 (4096)"
